work_of_art	percussion_instrument	horn	wind_instrument	plucked_instrument	specifications	softness	musician	musical_arrangement	reed	string	woodwind_instrument	electronic_musical_instrument	hautbois	cymbal
dance_orchestra	human_language	rock_band	movie	classical_music	audio_system	vocal	sound_system	folk	folkie	traditional_music	electrical_energy	fine_arts	band	film
actor	traditional_music	religious_song	composition	rock_band	rock_group	music_group	repetition	serious_music	classical	musical_work	passage	work_of_art	dramaturgy	christian_music
phonograph_record	discography	subculture	song	lead_vocalist	full_name	pic	serious_music	signal	metric	air	instrument	radio_broadcasting	measure	cornetist
rock_group	work_of_art	musical_notation	repetition	musical_note	musical_theater	musical_composition	sound_reproduction	musical_work	dramatics	film	picture_show	music_genre	passage	bandmember
instrument	language	signal	introduction	composition	air	presentation	chord	person	tune	strain	bandmember	vocal	idiophone	singer
pop_musician	performance	pop	jazz	tune	rock_group	song	picture_show	classical	art_music	folkie	rock-and-roll	music_genre	sonata	blues
spoken_language	pop	vocal_music	human_language	rock_group	religious_music	musical_composition	latin_music	team	folk_ballad	musical_work	picture_show	human_voice	vocal	music_group
aerophone	bass_instrument	string_instrument	reed_instrument	free_reed	reed	saxist	brass	hautbois	wind_instrument	keyboard_instrument	drum	instrument	percussive_instrument	arranging
dramatic_play	social_event	singing	rock_and_roll	work_of_art	picture	church_music	christian_music	pop_musician	marching_music	musical_work	drama	traditional_music	language	heavy_metal
dramaturgy	audio_recording	electrical_energy	opus	picture	musical_note	audio_system	musical_organization	art_music	vocalist	folkie	task	film	medium	show
voice	music_notation	traditional_music	passage	vocalist	classical_music	musical_passage	folkie	repetition	dramaturgy	dramatics	social_event	person	classical	audio_system
task	bandleader	musician	work_of_art	actor	musical_organization	music_group	musical_composition	rock_music	executive_director	signal	sound_reproduction	venture	filmmaker	songster
voice	melody	musical_group	release	backup_band	strain	pop_musician	show	dance_orchestra	religious_song	spoken_language	traditional_music	social_event	bandmember	drama
audio_recording	musical_note	audio_system	theater	melodic_phrase	passage	musical_performance	film	voice	air	musical_organization	musical_composition	social_event	religious_music	motion_picture
opus	finish	termination	fund	freeway	close	composition	end	musical_work	thoroughfare	stock	cul-de-sac	pike	closing	route
musical_composition	actor	signal	composer	task	executive_director	film_maker	title	vocal	song	dj	music_group	bandleader	honorific	bandmember
musical_organization	work_of_art	rock_group	signal	musical_note	classical_music	musical_notation	line_of_succession	traditional_music	dramatic_art	music_group	piece_of_music	church_music	vocal_music	music_notation
musical_work	work_of_art	electronic_musical_instrument	saxophonist	instrument	free_reed	wood	integral	musical_composition	saxist	guitar	hautbois	string	percussion_instrument	bowed_instrument
musical_notation	fine_arts	release	music_group	music_genre	musical_note	disk_jockey	audio_recording	function	musical_organization	picture_show	rock_band	medium	musician	spoken_language
work_of_art	music_genre	folksong	classical_music	electrical_energy	human_voice	studio_album	folk_song	vocal_music	popular_music	serious_music	spoken_language	pop	musical_composition	folkie
darbuka	instrument	bowed_instrument	softness	specifications	percussion_instrument	bandmember	electronic_musical_instrument	horn	sax	drum	free_reed	frame_drum	reed	composing
pipe	present_day	opus	wind	percussive_instrument	harp	medium	reed_instrument	hautbois	string	plucked_instrument	electronic_musical_instrument	wind_instrument	musician	bowed_instrument
song	venture	honorific	work_of_art	task	composer	executive_director	direction	enterprise	music_director	rock_star	boss	writer	rock_and_roll	musical_composition
singer-songwriter	social_event	opus	composer	team	lyricist	musician	musical_composition	dramatics	dj	musical_work	music_group	musical_organization	repetition	social_norm
amusement	song	singing	audio_signal	pop_musician	vocal_music	blues	classical	traditional_music	musical_composition	popular_music	christian_music	classical_music	demonstration	anthem
rock'n'roll	vocal	musical_performance	strain	show	flick	folkie	sound_reproduction	musical_note	music_genre	musical_group	folk	popular_music_genre	dramatics	opus
voice	work_of_art	folk	opus	classical_music	social_event	dramaturgy	spoken_language	traditional_music	art_music	vocal_music	music_genre	air	rock	show
musical_composition	classical	extended_play	air	band	signal	music_genre	work_of_art	musician	music_group	picture	rock_band	show	movie	theater
composition	lute	musical_instrument	work_of_art	saxophonist	seven-string_guitar	woodwind_instrument	wind_instrument	band	electronic_musical_instrument	free_reed	keyboard	oboe	softness	opus
musical_composition	country	work_of_art	pop	piece_of_music	theater	studio_album	heavy_metal	song	music_group	language	marching_music	anthem	church_music	performance
classical	christian_music	pop_music	tune	heavy_metal	marching_music	band	drama	dance_orchestra	heavy_metal_music	performance	folk_ballad	show	rock-and-roll	religious_music
instrument	saxist	cymbal	musical_instrument	musical_arrangement	plucked_string_instrument	wind_instrument	flute	keyboard_instrument	seven-string_guitar	wind	free_reed	brass	mechanism	magnitude
musical_composition	sound_reproduction	person	fine_arts	folkie	classical	pop	classical_music	vocal	repetition	strain	dramaturgy	task	religious_music	line_of_succession
quote	quotation	bandmember	air	citation	idiophone	jazz	folk	strain	composition	album	console	cured	digital_electronics	dollar_sign
opus	classical_music	traditional_music	social_event	vocal_music	drama	vocalist	sound_reproduction	christian_music	musical_group	task	opera	musical_organization	team	passage
band	musical_theater	alternative_rock	studio_album	film	dramaturgy	album	blues	folk_music	musical_composition	pop	music_genre	popular_music_genre	electrical_energy	entertainment
rock_group	team	film	electrical_energy	latin_music	heavy_metal	classical_music	motion_picture	song	folk_song	amusement	sonata	rock_and_roll	art_music	vocalist
task	song	album	show	traditional_music	latin_music	extended_play	motion_picture	dance_orchestra	musical_composition	serious_music	blues	flick	sound_recording	classical_music
chief	team	song	honorific	administration	dance_band	jazzman	musical_organization	band	corporation	musical_composition	rock_star	work_of_art	movie_maker	lyrist
tune	vocal_music	air	solo_album	task	show	metric	team	musical_accompaniment	language	rock_group	human_language	sound_recording	performing_arts	voice
sonata	anthem	classical_music	tune	amusement	regional_blues	dramatic_play	pop_musician	album	rock_band	medium	social_event	electrical_energy	bandmember	vocalizing
classical_music	music_genre	work_of_art	art_music	musical_organization	performing_arts	social_event	band	musical_group	company	song	language	composition	classical	audio_recording
percussive_instrument	drum	person	wind	guitar	arrangement	plucked_string_instrument	clarinet	pipe	musical_composition	saxist	integral	instrument	softness	composition
task	vocal_music	social_event	band	instrument	vocal	performing_arts	film	musical_organization	drama	line_of_succession	flick	art_music	dramatics	work_of_art
administrator	rock_group	sound_reproduction	heavy_metal	melodic_phrase	lyricist	release	poet	storage	boss	disc_jockey	songwriter	musical_style	vocal	record_producer
firm	work_of_art	title	opus	management	administrator	rock_star	dramaturgy	dance_orchestra	actor	song	sound_reproduction	rock_band	composition	lyrist
musical_note	melody	voice	classical_music	folk_music	popular_music_genre	team	musical_passage	dance_orchestra	christian_music	dramatic_art	line_of_succession	audio_recording	opera	musical_organization
passage	show	musical_organization	alternative_rock	air	performance	recording	sound_reproduction	opus	rock_group	work_of_art	social_event	speech	theatre	spoken_language
electronic_instrument	darbouka	musical_work	plucked_instrument	musician	saxophone	brass_instrument	stringed_instrument	musical_instrument	piece_of_music	hautbois	flute	country	magnitude	electronic_musical_instrument
rock_group	air	repetition	rock_band	disc_jockey	band	music_group	task	poetess	corporation	writer	concern	vocal	musical_accompaniment	partnership
picture	passage	rock_music	vocal_music	folk	melody	language	picture_show	work_of_art	vocalist	rock-and-roll	voice	popular_music	christian_music	film
musical_composition	signal	rock_music	musical_notation	melodic_line	popular_music	musical_theater	voice	musical_passage	vocal	film	spoken_language	rock'n'roll	musical_performance	popular_music_genre
aerophone	arranging	magnitude	bowed_instrument	softness	horn	pipe	woodwind_instrument	transcription	bass_instrument	free_reed	integral	percussion	reed	oboe
melody	work_of_art	traditional_music	signal	audio_recording	musical_composition	dramaturgy	team	musical_note	folkie	classical	social_event	classical_music	task	melodic_line
air	task	sound_system	christian_music	musical_note	folk_music	music_genre	musical_performance	serious_music	picture_show	voice	track	work_of_art	music_notation	rock_band
album	picture	classical_music	music_genre	melody	song	audio_recording	rock_band	vocalizing	religious_song	audio_signal	audio	folk	passage	popular_music
bandmember	fine_arts	popular_music	musical_organization	electrical_energy	pop	vocal	work_of_art	show	opus	picture_show	album	demonstration	dramaturgy	medium
work_of_art	music_notation	musical_performance	voice	melodic_line	church_music	social_event	rock'n'roll	vocal_music	record_album	human_voice	composition	disc_jockey	vocal	musician
performance	work_of_art	pic	film	traditional_music	pop_music	musical_organization	dramaturgy	folk_music	instrument	amusement	movie	folk_song	rock'n'roll	fine_arts
serious_music	classical_music	musicality	counterpoint	musical_composition	musical_work	classical	opus	work_of_art	album	bandmember	language	function	music_genre	piece_of_music
audio_recording	administrator	jazzman	conductor	studio_album	corporate_executive	rock-and-roll	audio_signal	medium	rock_music	movie_maker	electrical_energy	work_of_art	song	executive
band	bandmember	team	vocal	tune	storage	opus	classical	instrument	folk	song	show	strain	wind	introduction
rock_star	honorific	audio_signal	concern	popular_music	poetess	business_executive	rock-and-roll	film_maker	composition	filmmaker	music_group	work_of_art	organist	rock_band
social_event	drama	language	singer	signal	music_group	tune	pop	heavy_metal_music	medium	classical_music	amusement	bandmember	picture	folksong
musical_composition	administrator	storage	disc_jockey	task	sound_reproduction	single	bandmember	firm	song	film_maker	thespian	work_of_art	leader	musical_work
dramatics	social_event	dramaturgy	religious_music	language	musical_note	electronic_equipment	vocal	task	musical_composition	air	single	extended_play	musical_theater	voice
